First Name,Last Name,Gender,Imprint,Trade,Additional Print Agent (STC),Title Page Author,Author First Name,Author Last Name,Additional Authors,Title,Alternate Titles,Genre,Year,Total Paratexts,Paratext Title,Paratext Type,Dedicatee,Assumed Dedicatee Gender,Illustration,STC No,Additional Paratexts,Notes,Copy From,Source
Richard,Pynson,Male,London: R. Pynson,Printer,,,Geoffrey,Chaucer,,,Canterbury Tales,Verse | Poetry,1492,1,[Publisher's note],To the Reader,,,Yes,5084,,,British Library,EEBO
John,Case,Male,"Imprynted at London: By Iohn Case, dwellynge in Peter colledge rentes for Willyam Seres",Printer,William Seres,,John,Hall,Thomas Sternhold (misattributed) | Henry Howard,"Certayne chapters of the proVerbes of Salomon drawen into metre by Thomas sterneholde, late grome of the kynges Magesties robes",,Religion | Psalms,1500,1,"To the ryght worshipful, and my singular good Maister, syr Thomas Spck knyght ... John Case wysheth worshyppe, heathe and prosperitie, wyth encrease of vertue",Dedication,,,No,2760,,,Cambridge University Library,EEBO
Richard,Pynson,Male,Impryntyd at London in Flete strete at the sygne of the George by Rycharde Pynson,Printer,,,Anonymous,,,Her begyneth the kalender of shepherdes,,Almanacs,1506,1,[Preface],To the Reader,,,Yes,22408,,Printer's note attributed by Williams,British Library,EEBO
Wynkyn,de Worde,Male,Missing title page,Printer,,,Sebastian,Brant,Henry Watson,The shyppe of fooles,The shyppe of fooles,Prose,1509,1,Hereafter followeth the table,Table of Contents,,,Yes,3547,,,Bibliothèque nationale de France,EEBO
John,Rastell,Male,London: Johannes· Rastell,Printer,,,Anonymous,,,Tabula libri assisaru plitorum corone,Laws,Law | Reports | Jurisprudence,1514,1,Prologus John Rastell in laudem legu,Preface | To the Reader,,,No,9599,,Edited by John Rastell,Harvard University Library,EEBO
Robert,Copland,Male,"Enprynted at London: In the fletestrete at the signe of the Sonne by Wynkyn de worde., the yere of our lorde. M. CCCCC. xxi. The. xii. yere of the reygne of our moost naturall and vyctoryous soverayne lorde kynge Henry the. viii.",Publisher | Editor,Wynkyn de Worde,,Edmund,of Abingdon,Saint Austin of Abingdon,"The myrrour of the chyrche herefoloweth a deuout treatyse coteynyge many goostly medytacyons & instruccions to all maner of people, necessary & confortable to the edyfycacion of the soule & body to the loue & grace of god.",The Mirror of the Church,Religion | Devotional,1521,2,Petycyon of R. Coplande the prynter | In the name of our swete lorde Jesu Cryste here begyneth the artycles and poyntes of the maters whiche are touched in a sermon the cometh after,Verse | Table of Contents,,,Yes,965,,"Copland calls himself ""printer,"" but seems to be taking on the modern role of editor or publisher. Imprint from colophon.",British Library,EEBO
Robert,Copland,Male,Enprinted at London: In fletestrete at the sygne of the sonne by Wynkyn de Worde,Publisher | Editor,Wynkyn de Worde,,Andrew,Chertsey,,"The passyon of our lorde Here ensueth a goostely treatyse of the passyon of our lorde Jesu Chryst, with many deuout conte[m]placyons, examples, and extencions of the same.",The Passion of Our Lord Jesus Christ,Religion,1521,2,The prologue of Robert Coplande | Invocacyon of Robert Coplande,To the Reader | Colophon,,,Yes,14558,,"Copland calls himself ""printer,"" but seems to be taking on the modern role of editor or publisher. Imprint from colophon",Cambridge University Library,EEBO
Henry,Pepwell,Male,London: In Poules churchyarde at the sygne of the Trynyte by Henry Pepwell,Printer,,,Chirstine,de Pisan,Brian Anslay,Here begynneth the boke of the Cyte of Ladyes / the whiche boke is deuyded in to iij partes. The fyrst parte telleth howe and by whom the walle and the cloystre aboute the Cyte was made. The seconde parte telleth howe and by whom the cyte was buylded within and peopled. The thyrde parte telleth howe and by whom the hyghe battylmentes of the towres were parfytely made / and what noble ladyes were ordeyned to dwell in ye hyghe palayces and hyghe dongeons. And ye fyrst chapytre telleth howe and by whom and by what mouynge the sayd cyte was made.,Treson de la cité des dames,Women | Education | Debate on Women | Translation,1521,1,Here after foloweth the Prologue of the prynter,To the Reader,,,Yes,7271,,,British Library,EEBO
Thomas,Berthelet,Male,None,Printer,,,John,Fitzherbert,Sir Anthony Fitzherbert,Here begynneth a ryght frutefull mater: and hath to name the boke of surveyeng and improvmetes,The boke of surueyeng and improumetes,Agriculture | Economics,1523,3,Tho. Berthelet to the reders of this lytell boke | The Table: Here Followeth the table of this present treatyse/and the chapters of an olde statute called Extenta maneri,To the Reader | Table of Contents,,,Yes,11005,,,British Library,EEBO
Robert,Copland,Male,Imprynted at Lodon: In the Fletestrete at ye sygne of the Rose garlonde by Robert Coplande,Printer | Publisher | Editor,,,Jacques,Bourbon,Robert Copland,"The begynnynge and foundacyon of the holy hospytall, [and] of the ordre of the knyghtes hospytallers of saynt Johan baptyst of Jerusalem",Holy Hospital | Grande et merveilleuse,Religion,1524,1,Lenvoy of the prynter,Envoy,,,Yes,15050,,Imprint from colophon,British Library,EEBO
